origin,type_origin,destination,tipo_destination,distance_euclidiane,distance_geo
A7,collection,C20,clasification,3,449.534
A7,collection,C21,clasification,3,450.54
A8,collection,C1,clasification,0,135.72
A8,collection,C2,clasification,0,4.135
A8,collection,C3,clasification,0,1.415
A8,collection,C4,clasification,0,3.907
A8,collection,C5,clasification,0,7.448
A8,collection,C6,clasification,0,7.418
A8,collection,C7,clasification,0,12.904
A8,collection,C8,clasification,1,181.078
A8,collection,C9,clasification,1,181.078
A8,collection,C10,clasification,1,181.078
A8,collection,C11,clasification,2,425.568
A8,collection,C12,clasification,2,438.279
A8,collection,C13,clasification,2,432.783
A8,collection,C14,clasification,2,433.254
A8,collection,C15,clasification,2,437.411
A8,collection,C16,clasification,3,451.383
A8,collection,C17,clasification,2,435.859
A8,collection,C18,clasification,3,449.412
A8,collection,C19,clasification,2,436.269
A8,collection,C20,clasification,3,454.607
A8,collection,C21,clasification,3,455.614
A9,collection,C1,clasification,1,143.411
A9,collection,C2,clasification,0,10.745
A9,collection,C3,clasification,0,8.1
A9,collection,C4,clasification,0,4.549
A9,collection,C5,clasification,0,1.739
A9,collection,C6,clasification,0,1.82
A9,collection,C7,clasification,0,11.245
A9,collection,C8,clasification,1,176.167
A9,collection,C9,clasification,1,176.167
A9,collection,C10,clasification,1,176.167
A9,collection,C11,clasification,2,420.657
A9,collection,C12,clasification,2,433.368
A9,collection,C13,clasification,2,427.872
A9,collection,C14,clasification,2,428.342
A9,collection,C15,clasification,2,432.499
A9,collection,C16,clasification,2,446.472
A9,collection,C17,clasification,2,430.948
A9,collection,C18,clasification,2,444.5
A9,collection,C19,clasification,2,431.357
A9,collection,C20,clasification,3,449.696
A9,collection,C21,clasification,3,450.703
A10,collection,C1,clasification,0,138.026
A10,collection,C2,clasification,0,5.36
A10,collection,C3,clasification,0,2.715
A10,collection,C4,clasification,0,1.622
A10,collection,C5,clasification,0,5.191
A10,collection,C6,clasification,0,5.161
A10,collection,C7,clasification,0,11.37
A10,collection,C8,clasification,1,179.544
A10,collection,C9,clasification,1,179.544
A10,collection,C10,clasification,1,179.544
A10,collection,C11,clasification,2,424.034
A10,collection,C12,clasification,2,436.745
A10,collection,C13,clasification,2,431.249
A10,collection,C14,clasification,2,431.719
A10,collection,C15,clasification,2,435.877
A10,collection,C16,clasification,2,449.849
A10,collection,C17,clasification,2,434.325
A10,collection,C18,clasification,2,447.878
A10,collection,C19,clasification,2,434.734
A10,collection,C20,clasification,3,453.073
A10,collection,C21,clasification,3,454.08
A11,collection,C1,clasification,0,132.688
A11,collection,C2,clasification,0,1.658
A11,collection,C3,clasification,0,2.894
A11,collection,C4,clasification,0,7.138
A11,collection,C5,clasification,0,10.679
A11,collection,C6,clasification,0,10.649
A11,collection,C7,clasification,0,16.135
A11,collection,C8,clasification,1,184.309
A11,collection,C9,clasification,1,184.309
A11,collection,C10,clasification,1,184.309
A11,collection,C11,clasification,2,428.799
A11,collection,C12,clasification,2,441.51
A11,collection,C13,clasification,2,436.014
A11,collection,C14,clasification,2,436.484
A11,collection,C15,clasification,2,440.641
A11,collection,C16,clasification,3,454.614
A11,collection,C17,clasification,2,439.09
A11,collection,C18,clasification,3,452.642
A11,collection,C19,clasification,2,439.499
A11,collection,C20,clasification,3,457.838
A11,collection,C21,clasification,3,458.845
A12,collection,C1,clasification,0,139.838
A12,collection,C2,clasification,0,7.172
A12,collection,C3,clasification,0,4.527
A12,collection,C4,clasification,0,1.483
A12,collection,C5,clasification,0,3.418
A12,collection,C6,clasification,0,3.388
A12,collection,C7,clasification,0,11.413
A12,collection,C8,clasification,1,177.814
A12,collection,C9,clasification,1,177.814
A12,collection,C10,clasification,1,177.814
A12,collection,C11,clasification,2,422.304
A12,collection,C12,clasification,2,435.015
A12,collection,C13,clasification,2,429.519
A12,collection,C14,clasification,2,429.99
A12,collection,C15,clasification,2,434.147
A12,collection,C16,clasification,2,448.12
A12,collection,C17,clasification,2,432.595
A12,collection,C18,clasification,2,446.148
A12,collection,C19,clasification,2,433.005
A12,collection,C20,clasification,3,451.343
A12,collection,C21,clasification,3,452.35
A13,collection,C1,clasification,0,135.351
A13,collection,C2,clasification,0,3.766
A13,collection,C3,clasification,0,1.515
A13,collection,C4,clasification,0,4.323
A13,collection,C5,clasification,0,7.864
A13,collection,C6,clasification,0,7.834
A13,collection,C7,clasification,0,13.32
A13,collection,C8,clasification,1,181.494
A13,collection,C9,clasification,1,181.494
A13,collection,C10,clasification,1,181.494
A13,collection,C11,clasification,2,425.984
A13,collection,C12,clasification,2,438.695
A13,collection,C13,clasification,2,433.199
A13,collection,C14,clasification,2,433.669
A13,collection,C15,clasification,2,437.826
A13,collection,C16,clasification,3,451.799
A13,collection,C17,clasification,2,436.275
A13,collection,C18,clasification,3,449.827
A13,collection,C19,clasification,2,436.684
A13,collection,C20,clasification,3,455.023
A13,collection,C21,clasification,3,456.03
A14,collection,C1,clasification,0,131.494
A14,collection,C2,clasification,0,2.803
A14,collection,C3,clasification,0,4.039
A14,collection,C4,clasification,0,8.127
A14,collection,C5,clasification,0,11.668
A14,collection,C6,clasification,0,11.638
A14,collection,C7,clasification,0,17.124
A14,collection,C8,clasification,1,185.298
A14,collection,C9,clasification,1,185.298
A14,collection,C10,clasification,1,185.298
A14,collection,C11,clasification,2,429.788
A14,collection,C12,clasification,2,442.499
A14,collection,C13,clasification,2,437.003
A14,collection,C14,clasification,2,437.473
A14,collection,C15,clasification,2,441.631
A14,collection,C16,clasification,3,455.603
A14,collection,C17,clasification,2,440.079
A14,collection,C18,clasification,3,453.631
A14,collection,C19,clasification,2,440.488
A14,collection,C20,clasification,3,458.827
A14,collection,C21,clasification,3,459.834
A15,collection,C1,clasification,1,143.463
A15,collection,C2,clasification,0,10.797
A15,collection,C3,clasification,0,8.152
A15,collection,C4,clasification,0,4.601
A15,collection,C5,clasification,0,1.836
A15,collection,C6,clasification,0,1.677
A15,collection,C7,clasification,0,11.588
A15,collection,C8,clasification,1,177.148
A15,collection,C9,clasification,1,177.148
A15,collection,C10,clasification,1,177.148
A15,collection,C11,clasification,2,421.638
A15,collection,C12,clasification,2,434.349
A15,collection,C13,clasification,2,428.853
A15,collection,C14,clasification,2,429.324
A15,collection,C15,clasification,2,433.481
A15,collection,C16,clasification,2,447.453
A15,collection,C17,clasification,2,431.929
A15,collection,C18,clasification,2,445.482
A15,collection,C19,clasification,2,432.339
